 # iter,        type,        obj(115178),     obj_abs(10413),  obj_cs_dif(15593),  obj_cr_dif(89172),        obj_tele(0),           res(mean/std),       res_abs(mean/std),    res_cs_dif(mean/std),    res_cr_dif(mean/std),      res_tele(mean/std),        step_length,
    0, model update,              36209,              36209,            3325.21,             619156,                  0,       0.062047/2.390616,       0.169483/1.857031,       0.000000/0.461790,       0.060351/2.634341,                 0.0/0.0,               0.02,
    1, model update,            35452.8,            35452.8,            3686.37,             609906,                  0,       0.050484/2.373310,       0.060166/1.844192,      -0.000000/0.486222,       0.058181/2.614627,                 0.0/0.0,               0.02,
    2, model update,            34942.8,            34942.8,            4250.44,             601186,                  0,       0.041104/2.357588,      -0.019790/1.831747,       0.000000/0.522098,       0.055403/2.595921,                 0.0/0.0,               0.02,
    3, model update,              34499,              34499,            4615.13,             594151,                  0,       0.037814/2.344507,      -0.031537/1.819912,      -0.000000/0.544036,       0.052525/2.580740,                 0.0/0.0,               0.02,
    1,   relocation,            34129.4,            34129.4,            4740.26,             588781,                  0,       0.036053/2.334117,      -0.036118/1.810047,       0.000000/0.551361,       0.050785/2.569082,                 0.0/0.0,
    2,   relocation,            32552.4,            32552.4,            4585.25,             562115,                  0,       0.035071/2.280704,      -0.040311/1.767628,      -0.000000/0.542271,       0.050007/2.510222,                 0.0/0.0,
    3,   relocation,              31038,              31038,            4431.96,             536597,                  0,       0.034115/2.228371,      -0.043052/1.725932,      -0.000000/0.533130,       0.049091/2.452577,                 0.0/0.0,
    4,   relocation,            29569.7,            29569.7,            4284.93,             511839,                  0,       0.033204/2.176402,      -0.045585/1.684520,      -0.000000/0.524212,       0.048210/2.395325,                 0.0/0.0,
    5,   relocation,            28147.6,            28147.6,            4143.51,             487849,                  0,       0.032338/2.124834,      -0.047927/1.643418,      -0.000000/0.515489,       0.047366/2.338510,                 0.0/0.0,
    6,   relocation,            26771.6,            26771.6,            4007.89,             464623,                  0,       0.031572/2.073692,      -0.049999/1.602648,       0.000000/0.506982,       0.046618/2.282158,                 0.0/0.0,
    7,   relocation,            25441.4,            25441.4,            3877.76,             442133,                  0,       0.030772/2.022944,      -0.052140/1.562215,      -0.000000/0.498684,       0.045835/2.226231,                 0.0/0.0,
    8,   relocation,            24154.9,            24154.9,            3753.01,             420381,                  0,       0.029935/1.972623,      -0.053904/1.522098,      -0.000000/0.490597,       0.044959/2.170771,                 0.0/0.0,
    9,   relocation,            22912.9,            22912.9,            3633.48,             399340,                  0,       0.029106/1.922703,      -0.055710/1.482333,      -0.000000/0.482721,       0.044101/2.115742,                 0.0/0.0,
   10,   relocation,            21714.4,            21714.4,            3518.89,             379021,                  0,       0.028286/1.873237,      -0.057205/1.442929,      -0.000000/0.475049,       0.043216/2.061207,                 0.0/0.0,
   11,   relocation,            20559.1,            20559.1,            3409.19,             359389,                  0,       0.027477/1.824181,      -0.058779/1.403892,      -0.000000/0.467585,       0.042355/2.007111,                 0.0/0.0,
   12,   relocation,            19445.8,            19445.8,             3304.5,             340463,                  0,       0.026618/1.775610,      -0.060014/1.365228,      -0.000000/0.460350,       0.041388/1.953545,                 0.0/0.0,
   13,   relocation,            18374.4,            18374.4,            3204.76,             322207,                  0,       0.025794/1.727471,      -0.061405/1.326950,      -0.000000/0.453349,       0.040487/1.900441,                 0.0/0.0,
   14,   relocation,            17344.2,            17344.2,            3109.58,             304653,                  0,       0.024876/1.679889,      -0.062319/1.289086,      -0.000000/0.446567,       0.039407/1.847948,                 0.0/0.0,
   15,   relocation,            16355.7,            16355.7,            3018.82,             287775,                  0,       0.024065/1.632838,      -0.063384/1.251673,      -0.000000/0.440001,       0.038485/1.796026,                 0.0/0.0,
   16,   relocation,              15408,              15408,            2932.08,             271588,                  0,       0.023083/1.586406,      -0.064105/1.214733,      -0.000000/0.433634,       0.037300/1.744785,                 0.0/0.0,
   17,   relocation,            14501.1,            14501.1,            2849.93,             256055,                  0,       0.022164/1.540546,      -0.064928/1.178294,      -0.000000/0.427516,       0.036210/1.694156,                 0.0/0.0,
